name,stars,count_reviews,coordinate,latitude,longitude,category
Halte Busway Enggano,4.3,91,"-6.1101326,106.8898505,17",-6.1101326,106.8898505,bus_station
Halte Busway Flyover Jatinegara,4.1,10,"-6.2151586,106.8713174,17",-6.2151586,106.8713174,bus_station
Halte Busway Flyover Klender,5.0,3,"-6.2135816,106.900085,17",-6.2135816,106.900085,bus_station
Halte Busway Flyover Raden Inten,4.4,47,"-6.2159501,106.9217428,17",-6.2159501,106.9217428,bus_station
Halte Busway Flyover Raya Bogor,2.2,25,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway GOR Sumantri,4.1,66,"-6.2210012,106.8292792,17",-6.2210012,106.8292792,bus_station
Halte Busway Galur,4.6,44,"-6.1741436,106.8522304,17",-6.1741436,106.8522304,bus_station
Halte Busway Gambir 1,4.2,56,"-6.1745733,106.8277946,17",-6.1745733,106.8277946,bus_station
Halte Busway Gambir 2,4.5,79,"-6.17893,106.8284851,17",-6.17893,106.8284851,bus_station
Halte Busway Garuda Taman Mini,4.6,148,"-6.2901606,106.8785878,17",-6.2901606,106.8785878,bus_station
Halte Busway Gatot Subroto Jamsostek,3.9,54,"-6.2325848,106.8190251,17",-6.2325848,106.8190251,bus_station
Halte Busway Gatot Subroto LIPI,4.3,51,"-6.2267718,106.8152369,17",-6.2267718,106.8152369,bus_station
Halte Busway Gedong Panjang,4.6,12,"-6.1326323,106.803378,17",-6.1326323,106.803378,bus_station
Halte Busway Gelanggang Remaja,4.2,30,"-6.2353766,106.8653586,17",-6.2353766,106.8653586,bus_station
Halte Busway Gelora Bung Karno,4.6,572,"-6.2242306,106.8032171,17",-6.2242306,106.8032171,bus_station
Halte Busway Glodok,4.4,102,"-6.14341,106.8125551,17",-6.14341,106.8125551,bus_station
Halte Busway Grogol 1,4.2,139,"-6.1668132,106.7870674,17",-6.1668132,106.7870674,bus_station
Halte Busway Grogol 2,3.8,42,"-6.1671539,106.7855059,17",-6.1671539,106.7855059,bus_station
Halte Busway Gunung Sahari Mangga Dua,4.3,31,"-6.1364863,106.8240311,16",-6.1364863,106.8240311,bus_station
Halte Busway Halimun,4.6,62,"-6.2051146,106.8307955,17",-6.2051146,106.8307955,bus_station
Halte Busway Harmoni Sentral,4.2,188,"-6.1658067,106.8175986,17",-6.1658067,106.8175986,bus_station
