,name,stars,count_reviews,coordinate
318,Halte Busway Stasiun Jatinegara,4.3,503,"-6.2151854,106.8684497,17"
319,Halte Busway Stasiun Jatinegara 2,4.2,93,"-6.2156039,106.8654651,17"
320,Halte Busway Stasiun Klender,5.0,1,"-6.2134658,106.8957616,17"
321,Halte Busway Stasiun Kota,4.3,365,"-6.1377973,106.8114358,17"
322,Halte Busway Sumber Waras,3.6,105,"-6.16626,106.7941851,17"
323,Halte Busway Sumur Bor,4.1,94,"-6.1530313,106.7168051,17"
324,Halte Busway Sunan Giri,4.1,46,"-6.1934646,106.8811032,17"
325,Halte Busway Sunter Boulevard Barat,3.7,23,"-6.1495659,106.8860031,17"
326,Halte Busway Sunter Karya,4.3,59,"-6.1376119,106.8682392,17"
327,Halte Busway Sunter Kelapa Gading,4.2,44,"-6.1427947,106.8880659,17"
328,Halte Busway Swadarma,4.5,10,"-6.23755,106.7580751,17"
329,Halte Busway TU Gas,4.2,23,"-6.1931162,106.8982168,16"
330,Halte Busway Taman Kota,3.9,72,"-6.1571324,106.7553094,17"
331,Halte Busway Tanah Kusir Kodim,4.6,9,"-6.2564805,106.7792557,17"
332,Halte Busway Tanah Merdeka,4.2,102,"-6.3077862,106.8710892,17"
333,Halte Busway Tebet BUMD,4.3,35,"-6.2431468,106.84918,17"
334,Halte Busway Tegal Parang,4.4,529,"-6.2393202,106.8291478,17"
335,Halte Busway Tegalan,4.3,49,"-6.2032145,106.8546207,17"
336,Halte Busway Tendean,4.5,1986,"-6.2401824,106.8283292,17"
337,Halte Busway Tirtayasa,4.4,17,"-6.240068,106.8054621,17"
338,Halte Busway Tomang Mandala,4.5,40,"-6.1768813,106.7977939,17"
339,Halte Busway Tosari,5.0,7,"-6.1916046,106.783639,12"
340,Halte Busway UNJ,4.3,79,"-6.1929119,106.8777905,17"
341,Halte Busway Utan Kayu,5.0,1,"-6.1927219,106.8620084,17"
342,Halte Busway Utan Kayu Rawamangun,3.0,5,"-6.1924887,106.8544341,14"
343,Halte Busway Velbak,3.0,5,"-6.208428,106.7824432,15"
344,Halte Busway Velodrome,3.0,5,"-6.193495,106.8857826,17"
345,Halte Busway Walikota Jakarta Timur,4.4,126,"-6.2124846,106.9427898,17"
346,Halte Busway Walikota Jakarta Utara,4.0,1,"-6.1657757,106.8780024,13"
347,Halte Busway Warung Jati,4.5,62,"-6.2623689,106.8272207,17"
348,Halte Busway Yos Sudarso Kodamar,4.4,51,"-6.16204,106.8791151,17"
349,RSUD Kembangan,3.8,1022,"-6.1946469,106.7337479,17"
350,RSUD Kalideres,3.5,299,"-6.1266978,106.7014663,17"
351,RSUD Taman Sari,3.5,275,"-6.1437872,106.8166447,17"
352,RS Cendana,4.5,88,"-6.187407,106.7584841,17"
