,name,url,stars,count_reviews
55,Plaza Kalibata,"https://www.google.com/maps/place/PLAZA+KALIBATA,+Jl.+Raya+Kalibata+No.141,+RT.3%2FRW.2,+Rawajati,+Kec.+Pancoran,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta+12750/@-6.2572996,106.8534192,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f252d4af04a7:0x56ff7ea9eae0917b!8m2!3d-6.2572996!4d106.8559941!16s%2Fg%2F11b6_gfhvx","Bintang 4,4 6.849 Ulasan","Bintang 4,4 6.849 Ulasan"
56,Plaza Semanggi,"https://www.google.com/maps/place/Plaza+Semanggi/@-6.2194431,106.8117083,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f106899cabab:0x9b25424fe9fd23d1!8m2!3d-6.2194431!4d106.8142832!16s%2Fg%2F11h8qvdh0k","Bintang 4,1",7 ulasan
57,Poins Square,"https://www.google.com/maps/place/Poins+Mall+Simatupang/@-6.2899462,106.7755765,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1558d5a955d:0xf56df5d4319c363a!8m2!3d-6.2899462!4d106.7781514!16s%2Fg%2F11fhnj1p0s","Bintang 4,2",12.260 ulasan
58,Pondok Indah Mall,"https://www.google.com/maps/place/Pondok+Indah+Mall+1/@-6.2650091,106.7822185,17z/data=!3m2!4b1!5s0x2e69f1a5f3e39d21:0x7521cf72ca078a0!4m6!3m5!1s0x2e69f1a5f4fbee47:0x682837113c4ea854!8m2!3d-6.2650091!4d106.7847934!16zL20vMGd3NWI2","Bintang 4,6",76.676 ulasan
59,Aeon Mall JGC,"https://www.google.com/maps/place/AEON+MALL+JGC+-+Jakarta+Garden+City/@-6.1721883,106.949646,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698b02782a13cb:0x2c473319d7d1eef6!8m2!3d-6.1721883!4d106.9522209!16s%2Fg%2F11g02y3smf","Bintang 4,7",65.730 ulasan
60,Arion Mall,"https://www.google.com/maps/place/Arion+Mall,+Rawamangun,+Kec.+Pulo+Gadung,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.1941555,106.8880185,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f4c072718bb5:0xabd5e42e008709b8!8m2!3d-6.1941555!4d106.8905934!16s%2Fg%2F11b6__18n5","Bintang 4,4 11.243 Ulasan","Bintang 4,4 11.243 Ulasan"
61,Buaran Plaza,"https://www.google.com/maps/place/Buaran+Plaza,+Jl.+Raden+Intan+Raya,+RT.8%2FRW.14,+Klender,+Kec.+Duren+Sawit,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta+13470/@-6.2176794,106.9215426,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698ca6209958bd:0xac5e7c3a136a8a06!8m2!3d-6.2176913!4d106.9242399!16s%2Fg%2F11byl4fn62","Bintang 4,3 11.061 Ulasan","Bintang 4,3 11.061 Ulasan"
62,Cibubur Junction,"https://www.google.com/maps/place/Cibubur+Junction/@-6.3692589,106.8915174,17z/data=!3m2!4b1!5s0x2e69eca35df0f1b5:0x38bf3075d49b2f60!4m6!3m5!1s0x2e69eca34f7622bd:0x27d5a981ec2cf74b!8m2!3d-6.3692589!4d106.8940923!16s%2Fg%2F120t9tfj","Bintang 4,4",32.780 ulasan
63,Ciplaz Klender,"https://www.google.com/maps/place/Ciplaz+Klender/@-6.2140395,106.9006426,17z/data=!3m2!4b1!5s0x2e69f4a82d071155:0x4cb254c0787ba581!4m6!3m5!1s0x2e69f3455b216603:0x90d04a7a458252f8!8m2!3d-6.2140395!4d106.9032175!16s%2Fg%2F11fm3xc4xc","Bintang 4,4",5.933 ulasan
64,City Plaza Jatinegara,"https://www.google.com/maps/place/Cityplaza+Jatinegara/@-6.213879,106.8618281,17z/data=!3m2!4b1!5s0x2e69f47faee1ca13:0xcaa4e8e4b483c736!4m6!3m5!1s0x2e69f47fc4caeeb5:0x49f3cf933559073b!8m2!3d-6.213879!4d106.864403!16s%2Fg%2F1pztdksnf","Bintang 4,4",15.677 ulasan
65,Grand Cakung,"https://www.google.com/maps/place/Grand+Cakung,+Jl.+Kel+Ujung+Menteng,+RW.1,+Ujung+Menteng,+Kec.+Cakung,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta+13960/@-6.1856989,106.9591341,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698ba719ee1505:0x6a21214533a4a9d!8m2!3d-6.1856989!4d106.961709!16s%2Fg%2F11rxpfvjyw","Bintang 5,0 3 Ulasan","Bintang 5,0 3 Ulasan"
66,Lippo Plaza Kramat Jati,"https://www.google.com/maps/place/Lippo+Plaza+Kramat+Jati/@-6.2707582,106.865509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f2f68ac7d901:0xc1033b9ac184b5b2!8m2!3d-6.2707582!4d106.8680839!16s%2Fg%2F11b6dxfpyb","Bintang 4,4",20.526 ulasan
67,Mall Bassura,"https://www.google.com/maps/place/Mall@Bassura/@-6.2243387,106.8754862,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f324a4f3d8ad:0x610648e929845480!8m2!3d-6.2243387!4d106.8780611!16s%2Fg%2F11fhr06vg6","Bintang 4,6",3.786 ulasan
68,Mall Cipinang Indah,"https://www.google.com/maps/place/Mall+Cipinang+Indah/@-6.2391779,106.8914201,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f33ecaedb61d:0x2cb12991b7dda936!8m2!3d-6.2391779!4d106.893995!16s%2Fg%2F1q62d7581","Bintang 4,4",22.797 ulasan
69,Mall Graha Cijantung,"https://www.google.com/maps/place/Mall+Graha+Cijantung/@-6.312635,106.8593199,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69eda69607990b:0x8ad235b0fa732cad!8m2!3d-6.312635!4d106.8618948!16s%2Fg%2F11jn_jsq__","Bintang 4,6",6.176 ulasan
70,Pondok Kelapa Town Square,"https://www.google.com/maps/place/Pondok+Kelapa+Town+Square/@-6.2399018,106.9322158,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698cc2170903ff:0x5d69d0bb7c3460c4!8m2!3d-6.2399018!4d106.9347907!16s%2Fg%2F11cjj3f640","Bintang 4,3",3.298 ulasan
71,Pusat Grosir Cililitan,"https://www.google.com/maps/place/Pusat+Grosir+Cililitan,+Cililitan,+Kec.+Kramat+jati,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.2624152,106.862649,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f2f8a8cb03fb:0x32ee09260e5ad890!8m2!3d-6.2624152!4d106.8652239!16s%2Fg%2F11b6ygkgyg","Bintang 4,4 2.924 Ulasan","Bintang 4,4 2.924 Ulasan"
72,Tamini Square,"https://www.google.com/maps/place/Tamini+Square,+Pinang+Ranti,+Kec.+Makasar,+Kota+Jakarta+Timur,+Daerah+Khusus+Ibukota+Jakarta/@-6.2917347,106.878946,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f29bf38d73d7:0x156e81aecfcabdc0!8m2!3d-6.2917347!4d106.8815209!16s%2Fg%2F11p10dmxl8","Bintang 5,0 4 Ulasan","Bintang 5,0 4 Ulasan"
73,Baywalk Mall,"https://www.google.com/maps/place/Baywalk+Mall/@-6.1077048,106.7766316,17z/data=!3m2!4b1!5s0x2e6a1da5a44a7b7f:0x51d5eeb181fa4942!4m6!3m5!1s0x2e6a1da4559545a7:0xba8f1565cc043679!8m2!3d-6.1077048!4d106.7792065!16s%2Fg%2F1ywpnvqjq","Bintang 4,4",22.341 ulasan
74,Bella Terra Lifestyle Center,"https://www.google.com/maps/place/Bella+Terra+Lifestyle+Center/@-6.1744509,106.8919871,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f4df4dd3a493:0x54d601d5b41b42f7!8m2!3d-6.1744509!4d106.894562!16s%2Fg%2F11bw5m9dzw","Bintang 4,3",7.623 ulasan
75,Emporium Pluit,"https://www.google.com/maps/place/Emporium+Pluit+Mall/@-6.1272711,106.7884009,17z/data=!3m2!4b1!5s0x2e6a1d8d9e8d249f:0x6110628b98ada1bd!4m6!3m5!1s0x2e6a1d8d0db9e06d:0x54cb9f1766bde458!8m2!3d-6.1272711!4d106.7909758!16s%2Fg%2F12283xzq","Bintang 4,5",31.064 ulasan
